"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MAX"
"31","66","66","66","0.19549380242824554","0.19549380242824554","0.19549380242824554","66","66","66","0.23276986181735992","0.23276986181735992","0.23276986181735992","66","66","66","0.22164905071258545","0.22164905071258545","0.22164905071258545"
"32","68","68","68","0.20035791397094727","0.20035791397094727","0.20035791397094727","68","68","68","0.20156018435955048","0.20156018435955048","0.20156018435955048","68","68","68","0.2177267074584961","0.2177267074584961","0.2177267074584961"
"33","70","70","70","0.16110888123512268","0.16110888123512268","0.16110888123512268","70","70","70","0.20817342400550842","0.20817342400550842","0.20817342400550842","70","70","70","0.22424189746379852","0.22424189746379852","0.22424189746379852"
"34","72","72","72","0.1705135852098465","0.1705135852098465","0.1705135852098465","72","72","72","0.2120307981967926","0.2120307981967926","0.2120307981967926","72","72","72","0.21646718680858612","0.21646718680858612","0.21646718680858612"
"35","74","74","74","0.18379634618759155","0.18379634618759155","0.18379634618759155","74","74","74","0.23456507921218872","0.23456507921218872","0.23456507921218872","74","74","74","0.22257426381111145","0.22257426381111145","0.22257426381111145"
"36","76","76","76","0.18084587156772614","0.18084587156772614","0.18084587156772614","76","76","76","0.20936089754104614","0.20936089754104614","0.20936089754104614","76","76","76","0.21238692104816437","0.21238692104816437","0.21238692104816437"
"37","78","78","78","0.19339434802532196","0.19339434802532196","0.19339434802532196","78","78","78","0.21074464917182922","0.21074464917182922","0.21074464917182922","78","78","78","0.22391127049922943","0.22391127049922943","0.22391127049922943"
"38","80","80","80","0.1901538223028183","0.1901538223028183","0.1901538223028183","80","80","80","0.22581733763217926","0.22581733763217926","0.22581733763217926","80","80","80","0.2381604015827179","0.2381604015827179","0.2381604015827179"
"39","83","83","83","0.1786288172006607","0.1786288172006607","0.1786288172006607","83","83","83","0.2142360508441925","0.2142360508441925","0.2142360508441925","83","83","83","0.2253267467021942","0.2253267467021942","0.2253267467021942"
"40","85","85","85","0.18662318587303162","0.18662318587303162","0.18662318587303162","85","85","85","0.2060256004333496","0.2060256004333496","0.2060256004333496","85","85","85","0.22825290262699127","0.22825290262699127","0.22825290262699127"
"41","87","87","87","0.18988515436649323","0.18988515436649323","0.18988515436649323","87","87","87","0.19267773628234863","0.19267773628234863","0.19267773628234863","87","87","87","0.21415400505065918","0.21415400505065918","0.21415400505065918"
"42","89","89","89","0.17397014796733856","0.17397014796733856","0.17397014796733856","89","89","89","0.1843489110469818","0.1843489110469818","0.1843489110469818","89","89","89","0.2184676229953766","0.2184676229953766","0.2184676229953766"
"43","91","91","91","0.1548490822315216","0.1548490822315216","0.1548490822315216","91","91","91","0.1921236664056778","0.1921236664056778","0.1921236664056778","91","91","91","0.22662639617919922","0.22662639617919922","0.22662639617919922"
"44","93","93","93","0.16095373034477234","0.16095373034477234","0.16095373034477234","93","93","93","0.2048358917236328","0.2048358917236328","0.2048358917236328","93","93","93","0.23772598803043365","0.23772598803043365","0.23772598803043365"
"45","95","95","95","0.16327933967113495","0.16327933967113495","0.16327933967113495","95","95","95","0.20719142258167267","0.20719142258167267","0.20719142258167267","95","95","95","0.23788747191429138","0.23788747191429138","0.23788747191429138"
"46","97","97","97","0.1642492413520813","0.1642492413520813","0.1642492413520813","97","97","97","0.16660870611667633","0.16660870611667633","0.16660870611667633","97","97","97","0.2198421210050583","0.2198421210050583","0.2198421210050583"
"47","99","99","99","0.14888861775398254","0.14888861775398254","0.14888861775398254","99","99","99","0.19049932062625885","0.19049932062625885","0.19049932062625885","99","99","99","0.21984441578388214","0.21984441578388214","0.21984441578388214"
"48","101","101","101","0.18407617509365082","0.18407617509365082","0.18407617509365082","101","101","101","0.1990649402141571","0.1990649402141571","0.1990649402141571","101","101","101","0.23468632996082306","0.23468632996082306","0.23468632996082306"
"49","104","104","104","0.18174152076244354","0.18174152076244354","0.18174152076244354","104","104","104","0.1998072862625122","0.1998072862625122","0.1998072862625122","104","104","104","0.2310211956501007","0.2310211956501007","0.2310211956501007"
"50","106","106","106","0.17073550820350647","0.17073550820350647","0.17073550820350647","106","106","106","0.17469245195388794","0.17469245195388794","0.17469245195388794","106","106","106","0.2232600748538971","0.2232600748538971","0.2232600748538971"
"51","108","108","108","0.17588509619235992","0.17588509619235992","0.17588509619235992","108","108","108","0.16291338205337524","0.16291338205337524","0.16291338205337524","108","108","108","0.2314527928829193","0.2314527928829193","0.2314527928829193"
"52","110","110","110","0.15892374515533447","0.15892374515533447","0.15892374515533447","110","110","110","0.16801844537258148","0.16801844537258148","0.16801844537258148","110","110","110","0.22242484986782074","0.22242484986782074","0.22242484986782074"
"53","112","112","112","0.15565407276153564","0.15565407276153564","0.15565407276153564","112","112","112","0.17994463443756104","0.17994463443756104","0.17994463443756104","112","112","112","0.21588461101055145","0.21588461101055145","0.21588461101055145"
"54","114","114","114","0.15859082341194153","0.15859082341194153","0.15859082341194153","114","114","114","0.17499516904354095","0.17499516904354095","0.17499516904354095","114","114","114","0.2165014147758484","0.2165014147758484","0.2165014147758484"
"55","116","116","116","0.14338737726211548","0.14338737726211548","0.14338737726211548","116","116","116","0.18136243522167206","0.18136243522167206","0.18136243522167206","116","116","116","0.20295265316963196","0.20295265316963196","0.20295265316963196"
"56","118","118","118","0.15456223487854004","0.15456223487854004","0.15456223487854004","118","118","118","0.19336508214473724","0.19336508214473724","0.19336508214473724","118","118","118","0.23015524446964264","0.23015524446964264","0.23015524446964264"
"57","120","120","120","0.15747173130512238","0.15747173130512238","0.15747173130512238","120","120","120","0.1682962030172348","0.1682962030172348","0.1682962030172348","120","120","120","0.20410828292369843","0.20410828292369843","0.20410828292369843"
"58","122","122","122","0.1559281200170517","0.1559281200170517","0.1559281200170517","122","122","122","0.17294058203697205","0.17294058203697205","0.17294058203697205","122","122","122","0.20307055115699768","0.20307055115699768","0.20307055115699768"
"59","125","125","125","0.17015494406223297","0.17015494406223297","0.17015494406223297","125","125","125","0.1739296317100525","0.1739296317100525","0.1739296317100525","125","125","125","0.21742317080497742","0.21742317080497742","0.21742317080497742"
"60","127","127","127","0.1923283189535141","0.1923283189535141","0.1923283189535141","127","127","127","0.1645902544260025","0.1645902544260025","0.1645902544260025","127","127","127","0.20739060640335083","0.20739060640335083","0.20739060640335083"
"61","129","129","129","0.17352643609046936","0.17352643609046936","0.17352643609046936","129","129","129","0.1740708351135254","0.1740708351135254","0.1740708351135254","129","129","129","0.1712910234928131","0.1712910234928131","0.1712910234928131"
"62","131","131","131","0.1898491531610489","0.1898491531610489","0.1898491531610489","131","131","131","0.17532460391521454","0.17532460391521454","0.17532460391521454","131","131","131","0.22080866992473602","0.22080866992473602","0.22080866992473602"
