"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MAX"
"63","133","133","133","0.5899999737739563","0.5899999737739563","0.5899999737739563","133","133","133","0.4833333194255829","0.4833333194255829","0.4833333194255829","133","133","133","0.5551724433898926","0.5551724433898926","0.5551724433898926"
"64","135","135","135","0.4944954216480255","0.4944954216480255","0.4944954216480255","135","135","135","0.4749999940395355","0.4749999940395355","0.4749999940395355","135","135","135","0.6096774339675903","0.6096774339675903","0.6096774339675903"
"65","137","137","137","0.5590909123420715","0.5590909123420715","0.5590909123420715","137","137","137","0.48596492409706116","0.48596492409706116","0.48596492409706116","137","137","137","0.47209301590919495","0.47209301590919495","0.47209301590919495"
"66","139","139","139","0.6029914617538452","0.6029914617538452","0.6029914617538452","139","139","139","0.4968253970146179","0.4968253970146179","0.4968253970146179","139","139","139","0.5924778580665588","0.5924778580665588","0.5924778580665588"
"67","141","141","141","0.4423423409461975","0.4423423409461975","0.4423423409461975","141","141","141","0.5622807145118713","0.5622807145118713","0.5622807145118713","141","141","141","0.5720183253288269","0.5720183253288269","0.5720183253288269"
"68","143","143","143","0.48399999737739563","0.48399999737739563","0.48399999737739563","143","143","143","0.5851144790649414","0.5851144790649414","0.5851144790649414","143","143","143","0.5854838490486145","0.5854838490486145","0.5854838490486145"
"69","146","146","146","0.4739837348461151","0.4739837348461151","0.4739837348461151","146","146","146","0.5714876055717468","0.5714876055717468","0.5714876055717468","146","146","146","0.4965517222881317","0.4965517222881317","0.4965517222881317"
"70","148","148","148","0.4969465732574463","0.4969465732574463","0.4969465732574463","148","148","148","0.48983049392700195","0.48983049392700195","0.48983049392700195","148","148","148","0.6373949646949768","0.6373949646949768","0.6373949646949768"
"71","150","150","150","0.5652542114257812","0.5652542114257812","0.5652542114257812","150","150","150","0.5666666626930237","0.5666666626930237","0.5666666626930237","150","150","150","0.49259260296821594","0.49259260296821594","0.49259260296821594"
"72","152","152","152","0.5681818127632141","0.5681818127632141","0.5681818127632141","152","152","152","0.47704917192459106","0.47704917192459106","0.47704917192459106","152","152","152","0.5720183253288269","0.5720183253288269","0.5720183253288269"
"73","154","154","154","0.4467741847038269","0.4467741847038269","0.4467741847038269","154","154","154","0.48461538553237915","0.48461538553237915","0.48461538553237915","154","154","154","0.5","0.5","0.5"
"74","156","156","156","0.5892523527145386","0.5892523527145386","0.5892523527145386","156","156","156","0.42800000309944153","0.42800000309944153","0.42800000309944153","156","156","156","0.5554053783416748","0.5554053783416748","0.5554053783416748"
"75","158","158","158","0.4333333373069763","0.4333333373069763","0.4333333373069763","158","158","158","0.7412844300270081","0.7412844300270081","0.7412844300270081","158","158","158","0.554958701133728","0.554958701133728","0.554958701133728"
"76","160","160","160","0.5617647171020508","0.5617647171020508","0.5617647171020508","160","160","160","0.4771929681301117","0.4771929681301117","0.4771929681301117","160","160","160","0.581192672252655","0.581192672252655","0.581192672252655"
"77","162","162","162","0.5644144415855408","0.5644144415855408","0.5644144415855408","162","162","162","0.4740458130836487","0.4740458130836487","0.4740458130836487","162","162","162","0.6205882430076599","0.6205882430076599","0.6205882430076599"
"78","164","164","164","0.5799065232276917","0.5799065232276917","0.5799065232276917","164","164","164","0.5666666626930237","0.5666666626930237","0.5666666626930237","164","164","164","0.5517857074737549","0.5517857074737549","0.5517857074737549"
"79","167","167","167","0.47600001096725464","0.47600001096725464","0.47600001096725464","167","167","167","0.7446428537368774","0.7446428537368774","0.7446428537368774","166","166","166","0.5772727131843567","0.5772727131843567","0.5772727131843567"
"80","169","169","169","0.5607143044471741","0.5607143044471741","0.5607143044471741","169","169","169","0.5551724433898926","0.5551724433898926","0.5551724433898926","168","168","168","0.5628440380096436","0.5628440380096436","0.5628440380096436"
"81","171","171","171","0.4416666626930237","0.4416666626930237","0.4416666626930237","171","171","171","0.49823009967803955","0.49823009967803955","0.49823009967803955","170","170","170","0.4730158746242523","0.4730158746242523","0.4730158746242523"
"82","173","173","173","0.4471074342727661","0.4471074342727661","0.4471074342727661","173","173","173","0.5858974456787109","0.5858974456787109","0.5858974456787109","172","172","172","0.4488372206687927","0.4488372206687927","0.4488372206687927"
"83","175","175","175","0.585185170173645","0.585185170173645","0.585185170173645","175","175","175","0.5","0.5","0.5","174","174","174","0.5944444537162781","0.5944444537162781","0.5944444537162781"
"84","177","177","177","0.4644067883491516","0.4644067883491516","0.4644067883491516","177","177","177","0.47600001096725464","0.47600001096725464","0.47600001096725464","176","176","176","0.5720183253288269","0.5720183253288269","0.5720183253288269"
"85","179","179","179","0.45398229360580444","0.45398229360580444","0.45398229360580444","179","179","179","0.47288134694099426","0.47288134694099426","0.47288134694099426","178","178","178","0.5988188982009888","0.5988188982009888","0.5988188982009888"
"86","181","181","181","0.47704917192459106","0.47704917192459106","0.47704917192459106","181","181","181","0.46206897497177124","0.46206897497177124","0.46206897497177124","180","180","180","0.7043478488922119","0.7043478488922119","0.7043478488922119"
"87","183","183","183","0.49166667461395264","0.49166667461395264","0.49166667461395264","183","183","183","0.4389830529689789","0.4389830529689789","0.4389830529689789","182","182","182","0.5810344815254211","0.5810344815254211","0.5810344815254211"
"88","185","185","185","0.6184684634208679","0.6184684634208679","0.6184684634208679","185","185","185","0.4839285612106323","0.4839285612106323","0.4839285612106323","184","184","184","0.5869747996330261","0.5869747996330261","0.5869747996330261"
"89","188","188","188","0.5590909123420715","0.5590909123420715","0.5590909123420715","188","188","188","0.4884297549724579","0.4884297549724579","0.4884297549724579","187","187","187","0.5720183253288269","0.5720183253288269","0.5720183253288269"
"90","190","190","190","0.5586956739425659","0.5586956739425659","0.5586956739425659","190","190","190","0.5962809920310974","0.5962809920310974","0.5962809920310974","189","189","189","0.5973684191703796","0.5973684191703796","0.5973684191703796"
"91","192","192","192","0.5602564215660095","0.5602564215660095","0.5602564215660095","192","192","192","0.5681818127632141","0.5681818127632141","0.5681818127632141","191","191","191","0.6216981410980225","0.6216981410980225","0.6216981410980225"
"92","194","194","194","0.4513513445854187","0.4513513445854187","0.4513513445854187","194","194","194","0.5896551609039307","0.5896551609039307","0.5896551609039307","193","193","193","0.5985981225967407","0.5985981225967407","0.5985981225967407"
"93","196","196","196","0.4553718864917755","0.4553718864917755","0.4553718864917755","196","196","196","0.48181816935539246","0.48181816935539246","0.48181816935539246","195","195","195","0.5551724433898926","0.5551724433898926","0.5551724433898926"
"94","198","198","198","0.5","0.5","0.5","198","198","198","0.5","0.5","0.5","197","197","197","0.6142857074737549","0.6142857074737549","0.6142857074737549"
"95","200","200","200","0.4669724702835083","0.4669724702835083","0.4669724702835083","200","200","200","0.4385826885700226","0.4385826885700226","0.4385826885700226","199","199","199","0.554958701133728","0.554958701133728","0.554958701133728"
"96","202","202","202","0.4809523820877075","0.4809523820877075","0.4809523820877075","202","202","202","0.46190476417541504","0.46190476417541504","0.46190476417541504","201","201","201","0.4969465732574463","0.4969465732574463","0.4969465732574463"
"97","204","204","204","0.6178898811340332","0.6178898811340332","0.6178898811340332","204","204","204","0.4305785000324249","0.4305785000324249","0.4305785000324249","203","203","203","0.4749999940395355","0.4749999940395355","0.4749999940395355"
"98","206","206","206","0.5954545736312866","0.5954545736312866","0.5954545736312866","206","206","206","0.6136363744735718","0.6136363744735718","0.6136363744735718","205","205","205","0.5916666388511658","0.5916666388511658","0.5916666388511658"
"99","209","209","209","0.4484848380088806","0.4484848380088806","0.4484848380088806","209","209","209","0.46206897497177124","0.46206897497177124","0.46206897497177124","208","208","208","0.6149122714996338","0.6149122714996338","0.6149122714996338"
