"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MAX"
"67","141","141","141","0.2964286804199219","0.2964286804199219","0.2964286804199219","141","141","141","0.2858743369579315","0.2858743369579315","0.2858743369579315","140","140","140","0.29362979531288147","0.29362979531288147","0.29362979531288147"
"68","143","143","143","0.2910648286342621","0.2910648286342621","0.2910648286342621","143","143","143","0.3078913986682892","0.3078913986682892","0.3078913986682892","142","142","142","0.30212703347206116","0.30212703347206116","0.30212703347206116"
"69","146","146","146","0.29241231083869934","0.29241231083869934","0.29241231083869934","146","146","146","0.2951231896877289","0.2951231896877289","0.2951231896877289","145","145","145","0.29136791825294495","0.29136791825294495","0.29136791825294495"
"70","148","148","148","0.30350732803344727","0.30350732803344727","0.30350732803344727","148","148","148","0.2875155806541443","0.2875155806541443","0.2875155806541443","147","147","147","0.3042621314525604","0.3042621314525604","0.3042621314525604"
"71","150","150","150","0.29464948177337646","0.29464948177337646","0.29464948177337646","150","150","150","0.3030823767185211","0.3030823767185211","0.3030823767185211","149","149","149","0.29514428973197937","0.29514428973197937","0.29514428973197937"
"72","152","152","152","0.2996760308742523","0.2996760308742523","0.2996760308742523","152","152","152","0.3008633255958557","0.3008633255958557","0.3008633255958557","151","151","151","0.3057975172996521","0.3057975172996521","0.3057975172996521"
"73","154","154","154","0.2996395230293274","0.2996395230293274","0.2996395230293274","154","154","154","0.302670955657959","0.302670955657959","0.302670955657959","153","153","153","0.30841556191444397","0.30841556191444397","0.30841556191444397"
"74","156","156","156","0.2974858582019806","0.2974858582019806","0.2974858582019806","156","156","156","0.31059205532073975","0.31059205532073975","0.31059205532073975","155","155","155","0.29507172107696533","0.29507172107696533","0.29507172107696533"
"75","158","158","158","0.30149227380752563","0.30149227380752563","0.30149227380752563","158","158","158","0.3066825866699219","0.3066825866699219","0.3066825866699219","157","157","157","0.2951171398162842","0.2951171398162842","0.2951171398162842"
"76","160","160","160","0.29978570342063904","0.29978570342063904","0.29978570342063904","160","160","160","0.29798081517219543","0.29798081517219543","0.29798081517219543","159","159","159","0.30223652720451355","0.30223652720451355","0.30223652720451355"
