"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"30","64","64","64","0.43063557147979736","0.43063557147979736","0.43063557147979736","64","64","64","0.4317058026790619","0.4317058026790619","0.4317058026790619","63","63","63","0.4220418930053711","0.4220418930053711","0.4220418930053711"
"31","66","66","66","0.440205454826355","0.440205454826355","0.440205454826355","66","66","66","0.44755661487579346","0.44755661487579346","0.44755661487579346","65","65","65","0.44825538992881775","0.44825538992881775","0.44825538992881775"
"32","68","68","68","0.45329028367996216","0.45329028367996216","0.45329028367996216","68","68","68","0.4522077441215515","0.4522077441215515","0.4522077441215515","67","67","67","0.41335931420326233","0.41335931420326233","0.41335931420326233"
"33","70","70","70","0.4504053294658661","0.4504053294658661","0.4504053294658661","70","70","70","0.4766187369823456","0.4766187369823456","0.4766187369823456","69","69","69","0.419231653213501","0.419231653213501","0.419231653213501"
"34","72","72","72","0.4339485466480255","0.4339485466480255","0.4339485466480255","72","72","72","0.48641976714134216","0.48641976714134216","0.48641976714134216","71","71","71","0.4500330686569214","0.4500330686569214","0.4500330686569214"
"35","74","74","74","0.4248262643814087","0.4248262643814087","0.4248262643814087","74","74","74","0.4805683493614197","0.4805683493614197","0.4805683493614197","73","73","73","0.44385501742362976","0.44385501742362976","0.44385501742362976"
"36","76","76","76","0.44086191058158875","0.44086191058158875","0.44086191058158875","76","76","76","0.4799727499485016","0.4799727499485016","0.4799727499485016","75","75","75","0.42885109782218933","0.42885109782218933","0.42885109782218933"
"37","78","78","78","0.4614085257053375","0.4614085257053375","0.4614085257053375","78","78","78","0.4809490144252777","0.4809490144252777","0.4809490144252777","77","77","77","0.4308153986930847","0.4308153986930847","0.4308153986930847"
"38","80","80","80","0.4286024272441864","0.4286024272441864","0.4286024272441864","80","80","80","0.4771280884742737","0.4771280884742737","0.4771280884742737","79","79","79","0.448753297328949","0.448753297328949","0.448753297328949"
"39","83","83","83","0.43176737427711487","0.43176737427711487","0.43176737427711487","83","83","83","0.4673987925052643","0.4673987925052643","0.4673987925052643","82","82","82","0.518282949924469","0.518282949924469","0.518282949924469"
"40","85","85","85","0.41070109605789185","0.41070109605789185","0.41070109605789185","85","85","85","0.44858023524284363","0.44858023524284363","0.44858023524284363","84","84","84","0.44994595646858215","0.44994595646858215","0.44994595646858215"
"41","87","87","87","0.4313788414001465","0.4313788414001465","0.4313788414001465","87","87","87","0.46806201338768005","0.46806201338768005","0.46806201338768005","86","86","86","0.4215437173843384","0.4215437173843384","0.4215437173843384"
"42","89","89","89","0.45603010058403015","0.45603010058403015","0.45603010058403015","89","89","89","0.47337013483047485","0.47337013483047485","0.47337013483047485","88","88","88","0.432523250579834","0.432523250579834","0.432523250579834"
"43","91","91","91","0.4692254960536957","0.4692254960536957","0.4692254960536957","91","91","91","0.4467228949069977","0.4467228949069977","0.4467228949069977","90","90","90","0.4598383903503418","0.4598383903503418","0.4598383903503418"
"44","93","93","93","0.4419509768486023","0.4419509768486023","0.4419509768486023","93","93","93","0.4301055669784546","0.4301055669784546","0.4301055669784546","92","92","92","0.4471411406993866","0.4471411406993866","0.4471411406993866"
"45","95","95","95","0.4645976424217224","0.4645976424217224","0.4645976424217224","95","95","95","0.43511033058166504","0.43511033058166504","0.43511033058166504","94","94","94","0.44215813279151917","0.44215813279151917","0.44215813279151917"
"46","97","97","97","0.46923646330833435","0.46923646330833435","0.46923646330833435","97","97","97","0.45171523094177246","0.45171523094177246","0.45171523094177246","96","96","96","0.45501193404197693","0.45501193404197693","0.45501193404197693"
"47","99","99","99","0.43545347452163696","0.43545347452163696","0.43545347452163696","99","99","99","0.4543648660182953","0.4543648660182953","0.4543648660182953","98","98","98","0.4282797873020172","0.4282797873020172","0.4282797873020172"
"48","101","101","101","0.4547099471092224","0.4547099471092224","0.4547099471092224","101","101","101","0.4326934516429901","0.4326934516429901","0.4326934516429901","100","100","100","0.4898410141468048","0.4898410141468048","0.4898410141468048"
"49","104","104","104","0.4421367049217224","0.4421367049217224","0.4421367049217224","104","104","104","0.47623157501220703","0.47623157501220703","0.47623157501220703","103","103","103","0.47743168473243713","0.47743168473243713","0.47743168473243713"
"50","106","106","106","0.4719384014606476","0.4719384014606476","0.4719384014606476","106","106","106","0.47153598070144653","0.47153598070144653","0.47153598070144653","105","105","105","0.41334444284439087","0.41334444284439087","0.41334444284439087"
"51","108","108","108","0.4191087782382965","0.4191087782382965","0.4191087782382965","108","108","108","0.4429735839366913","0.4429735839366913","0.4429735839366913","107","107","107","0.4890128970146179","0.4890128970146179","0.4890128970146179"
"52","110","110","110","0.45577970147132874","0.45577970147132874","0.45577970147132874","110","110","110","0.4772270917892456","0.4772270917892456","0.4772270917892456","109","109","109","0.4174090027809143","0.4174090027809143","0.4174090027809143"
"53","112","112","112","0.4140056073665619","0.4140056073665619","0.4140056073665619","112","112","112","0.42272111773490906","0.42272111773490906","0.42272111773490906","111","111","111","0.4522664546966553","0.4522664546966553","0.4522664546966553"
