"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"39","83","83","83","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809","83","83","83","0.003068783087655902","0.003068783087655902","0.003068783087655902","82","82","82","0.00074074073927477","0.00074074073927477","0.00074074073927477"
"40","85","85","85","0.0020105820149183273","0.0020105820149183273","0.0020105820149183273","85","85","85","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746","84","84","84","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746"
"41","87","87","87","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746","87","87","87","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746","86","86","86","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"42","89","89","89","0.0016931216232478619","0.0016931216232478619","0.0016931216232478619","89","89","89","0.0014021163806319237","0.0014021163806319237","0.0014021163806319237","88","88","88","0.00042328040581196547","0.00042328040581196547","0.00042328040581196547"
"43","91","91","91","0.0020105820149183273","0.0020105820149183273","0.0020105820149183273","91","91","91","0.0014285714132711291","0.0014285714132711291","0.0014285714132711291","90","90","90","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"44","93","93","93","0.0013756613479927182","0.0013756613479927182","0.0013756613479927182","93","93","93","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746","92","92","92","0.0009259259095415473","0.0009259259095415473","0.0009259259095415473"
"45","95","95","95","0.0014285714132711291","0.0014285714132711291","0.0014285714132711291","95","95","95","0.0012169311521574855","0.0012169311521574855","0.0012169311521574855","94","94","94","0.0004761904710903764","0.0004761904710903764","0.0004761904710903764"
"46","97","97","97","0.0011111111380159855","0.0011111111380159855","0.0011111111380159855","97","97","97","0.0017195766558870673","0.0017195766558870673","0.0017195766558870673","96","96","96","0.0015079365111887455","0.0015079365111887455","0.0015079365111887455"
"47","99","99","99","0.0014021163806319237","0.0014021163806319237","0.0014021163806319237","99","99","99","0.00074074073927477","0.00074074073927477","0.00074074073927477","98","98","98","0.0013227512827143073","0.0013227512827143073","0.0013227512827143073"
"48","101","101","101","0.002910052891820669","0.002910052891820669","0.002910052891820669","101","101","101","0.0016931216232478619","0.0016931216232478619","0.0016931216232478619","100","100","100","0.0018783068517223","0.0018783068517223","0.0018783068517223"
